human,intent
Good day cat,greeting
Hello cat,greeting
Hi cat,greeting
how old you,calcAge
what is your name,name
how are you doing,care
how are you,care
who created you,probeCreator
made you,probeCreator
thank you,thank
thanks,thank
what day is it,day
whats todays date,date
what time is it,time
check the dictionary for ,define
show all contact,showContacts
fetch me my contacts,showContacts
call,call
mail,mail
lookup this,wiki
please research about,wiki
brief this,wiki
You are so smart,complement
looking good cat,complement
Thats awesome,complement
please start wireless network,winet
bye,bye
who are you,probePurpose
God Exist,probeGodsExistence
your IQ,probeStats
are you mad,insult
i wrong you,insult
idiot fool stupid crazy,insult
